news_agencies,news_id
ABC,abc-news
Wall Street Journal,the-wall-street-journal
Bloomberg,bloomberg
CNBC,cnbc
CNN,cnn
Financial Times,financial-times
Financial Post,financial-post
The New YorkTimes,the-new-york-times
BBC News,bbc-news
Business Insider,business-insider
The economist,the-economist
Fox News,fox-news
Associated Press,associated-press
Google News,google-news
Al Jazeera,al-jazeera-english
Guardian,the-guardian-uk
