"","date","aptone","ap","ga","tone","fin_return"
"1970-01-02 01:00:00",2016-02-29 13:45:00,0.00210131435933926,0.00399556207875051,0.00282721874374926,0.902255639097745,0.000323686286080342
"1970-01-03 01:00:00",2016-02-29 14:00:00,0.00208636983284145,0.00389945505746732,0.00281289130521205,0.345653271563589,0.00304471073510514
"1970-01-04 01:00:00",2016-02-29 14:15:00,0.0020865485999523,0.00382148125838775,0.00281381072328375,1.10320721800836,0.00356072843223461
"1970-01-05 01:00:00",2016-02-29 14:30:00,0.00215644510069019,0.00375425641250349,0.00282027194566737,4.71904170408648,0.000835559159063556
"1970-01-06 01:00:00",2016-02-29 14:45:00,0.00208532465380884,0.00366761533356445,0.00280679810969139,-2.53592561284869,-0.00332136541964581
"1970-01-07 01:00:00",2016-02-29 15:15:00,0.00210483502857233,0.00365579866606165,0.00281330667242371,-1.70434535361061,-0.00190074315049868
"1970-01-08 01:00:00",2016-02-29 15:30:00,0.00208114813109494,0.00358729879708015,0.00280592812062546,-1.85568423112214,-0.000646933138459884
"1970-01-09 01:00:00",2016-02-29 15:45:00,0.00208333534826374,0.0035083798852461,0.00279265512901395,0.779256660970974,0.00364138116203091
"1970-01-10 01:00:00",2016-02-29 16:00:00,0.0020678347595363,0.00346233537521847,0.00280076436569326,0.288614032549536,-0.000217930695329014
"1970-01-11 01:00:00",2016-02-29 16:15:00,0.00207305977148475,0.0033879509497793,0.00278678736845294,1.16565606402542,0.000446528250330632
"1970-01-12 01:00:00",2016-02-29 16:30:00,0.00202392188915755,0.00331632762379443,0.0027729259656607,-1.42517814726841,-0.000673440996206991
"1970-01-13 01:00:00",2016-02-29 17:30:00,0.00194535351129778,0.00324962390412515,0.00276005883634584,-3.4456558002104,-0.000876202608442389
"1970-01-14 01:00:00",2016-02-29 17:45:00,0.00193477369840092,0.00318708048159256,0.0027479201762197,-0.204709305812103,-0.0011551956560045
"1970-01-15 01:00:00",2016-02-29 18:00:00,0.00191353136347199,0.0031302653399797,0.00273700791367695,-1.02926986169186,-0.0016245217036578
"1970-01-16 01:00:00",2016-02-29 18:15:00,0.00193444110727438,0.00308414294028468,0.00272871587542315,0.559425924785868,-0.00341831725862891
"1970-01-17 01:00:00",2016-02-29 18:30:00,0.00202516181872324,0.00312333069763364,0.00273746679253307,1.74083147734516,0.00111089223228548
"1970-01-18 01:00:00",2016-02-29 18:45:00,0.00203205546215188,0.00306475427403457,0.00272574029952117,1.41509433962264,-0.00335435348643932
"1970-01-19 01:00:00",2016-02-29 19:00:00,0.00208493514283495,0.003108202388079,0.00273397812583017,-0.0889747982170659,-0.00106066472267733
"1970-01-20 01:00:00",2016-02-29 19:15:00,0.00205742680619122,0.00305324647410161,0.00272271164765445,-1.11074280637769,-0.0021427357779219
"1970-01-21 01:00:00",2016-02-29 19:30:00,0.00203615979302489,0.00302657024523678,0.00271830522486804,-2.13001364779866,0.000342425638410369
"1970-01-22 01:00:00",2016-02-29 19:45:00,0.00199497130788521,0.00297139664864908,0.0027049288096874,-1.03181146335283,-3.96432825411283e-05
"1970-01-23 01:00:00",2016-03-01 14:00:00,0.00199146389716108,0.00291897207053587,0.00269158686259758,0.832415487587901,0.00428151577249891
"1970-01-24 01:00:00",2016-03-01 14:15:00,0.00201352202979133,0.00293598251088707,0.00271034226566657,2.14529497805948,0.00209837541874881
"1970-01-25 01:00:00",2016-03-01 14:30:00,0.00198710683289898,0.00289135520748117,0.00270397938328952,-0.29673590504451,0.00708055283202443
"1970-01-26 01:00:00",2016-03-01 15:00:00,0.00197427098606033,0.00311380064104069,0.00277821111806965,0.343834966646232,-0.00210267859675631
"1970-01-27 01:00:00",2016-03-01 15:15:00,0.00204695955008233,0.00309238809823993,0.00277329500488597,2.40762929851612,0.00180962898983474
"1970-01-28 01:00:00",2016-03-01 15:30:00,0.0020201967248149,0.00303903902672304,0.00276463560401053,-0.297619047619047,0.00281396305379237
"1970-01-29 01:00:00",2016-03-01 15:45:00,0.00208012019567753,0.00299996296761825,0.00276379323013121,4.12807227452174,0.00304130606146863
"1970-01-30 01:00:00",2016-03-01 16:00:00,0.00210864122474899,0.00296705745417979,0.00276517314095787,2.56462372564986,0.00273454103930498
"1970-01-31 01:00:00",2016-03-01 16:15:00,0.0021074242941535,0.00292995367476804,0.00276348735118662,1.04873637799462,-0.00117178174131082
"1970-02-01 01:00:00",2016-03-01 16:30:00,0.00210366613814233,0.00288860061156474,0.00275262036842724,-0.149476831091181,0.000558913234949679
"1970-02-02 01:00:00",2016-03-01 16:45:00,0.00212672692653452,0.00284034229336409,0.00273922335450629,2.31481481481481,0.00302566799842179
"1970-02-03 01:00:00",2016-03-01 17:00:00,0.00212220888334958,0.00281906246279966,0.00274094987426267,0.887573964497042,-0.00356880823831601
"1970-02-04 01:00:00",2016-03-01 17:15:00,0.00226993346399408,0.00291579258705417,0.00275187203005466,4.61095100864553,0.000735796532907272
"1970-02-05 01:00:00",2016-03-01 17:30:00,0.00223295534278734,0.00286644538018691,0.0027388737294275,-0.719435817296841,0.00209929750656906
"1970-02-06 01:00:00",2016-03-01 17:45:00,0.00217652899975069,0.00282696011847103,0.00273238167524888,-1.76084099868594,0.00298390484452351
"1970-02-07 01:00:00",2016-03-01 18:00:00,0.00219949779561478,0.00280429260828745,0.002733653780044,2.36091709098064,-0.00266938998110374
"1970-02-08 01:00:00",2016-03-01 18:15:00,0.00223072582252353,0.00282982190712808,0.00273417345539463,-0.134456568505839,0.00313972000466785
