date,tone,positive,negative,polarity,active_den,self_den,price
2016-02-01 00:00:00,-2.658866117720476,1.9664374110669662,4.625303528787443,6.591740939854411,22.665545580382048,1.0018081658746485,nan
2016-02-01 00:15:00,-2.4597953882315777,1.9304459288272535,4.390241317058832,6.320687245886086,23.76187437292432,0.9623456001774673,nan
2016-02-01 00:30:00,-1.9952153804186545,2.370843856745474,4.366059237164129,6.7369030939096035,23.39445686444038,0.8152651101835813,nan
2016-02-01 00:45:00,-1.03985992427075,2.862004814099369,3.9018647383701177,6.763869552469489,23.300723783900338,1.2762986490031576,nan
2016-02-01 01:00:00,0.01019793695392625,3.0116839108198143,3.0014859738658877,6.013169884685702,22.705197671530644,1.0269708070964312,nan
2016-02-01 01:15:00,-2.1533832176773076,2.436871081821822,4.590254299499129,7.0271253813209515,24.042573249672078,0.9716816416270327,nan
2016-02-01 01:30:00,-0.5488926196883231,3.0417739242878508,3.590666543976174,6.632440468264027,21.795922956698167,1.0008127386919374,nan
2016-02-01 01:45:00,-2.235195114404869,2.0633343060793226,4.2985294204841935,6.361863726563516,23.36146986690958,1.0728402467102855,nan
2016-02-01 02:00:00,-1.1404620937840955,1.9928373517290172,3.133299445513112,5.126136797242129,23.317612300522104,1.1655486702384026,nan
2016-02-01 02:15:00,0.6193149689726567,3.3927556411195123,2.773440672146855,6.166196313266369,22.263315085800393,1.6059477462823215,nan
2016-02-01 02:30:00,-1.027561954104702,2.115004029973196,3.142565984077898,5.257570014051091,22.44976408630481,0.6825291236575645,nan
2016-02-01 02:45:00,-0.22138190495932,2.830861923692721,3.05224382865204,5.88310575234476,23.57862389725479,1.6377251849095191,nan
2016-02-01 03:00:00,-1.4425787741969238,2.5947397887515438,4.037318562948468,6.632058351700011,24.47048753626315,1.1913132053798616,nan
2016-02-01 03:15:00,-1.2786866309477851,2.44918876973207,3.7278754006798542,6.177064170411922,23.475762441617757,1.3639018947102757,nan
2016-02-01 03:30:00,-0.857630514540101,2.026453257106517,2.8840837716466186,4.910537028753137,21.61780549878098,1.599369951022351,nan
2016-02-01 03:45:00,-0.5770174612168989,2.7879200880545554,3.3649375492714526,6.152857637326011,23.73911886311571,1.3411135343879022,nan
2016-02-01 04:00:00,nan,nan,nan,nan,nan,nan,nan
2016-02-01 04:15:00,-0.29247732424561257,2.514568495537826,2.807045819783439,5.321614315321266,23.153827513087325,1.2946791891237917,nan
2016-02-01 04:30:00,0.40006024587472316,2.90169161087674,2.5016313650020137,5.403322975878754,22.549899812413795,1.3354076451490526,nan
2016-02-01 04:45:00,-1.1576905114668223,2.296592563145765,3.454283074612585,5.75087563775835,22.67870997704867,1.1649288087589535,nan
2016-02-01 05:00:00,-1.539313071993827,2.710129873831451,4.249442945825276,6.959572819656725,24.987615563567346,1.020476309407585,nan
2016-02-01 05:15:00,-0.9206877896326244,2.4186052503256112,3.3392930399582355,5.757898290283847,21.22322581627926,1.3470752094769378,nan
2016-02-01 05:30:00,-0.4243719124303262,2.5944015357506918,3.0187734481810162,5.613174983931709,23.16415302884756,1.203030590848016,nan
2016-02-01 05:45:00,0.21556484321577105,3.345752298716673,3.1301874555009035,6.475939754217576,22.84702451993249,0.8909371822763994,nan
2016-02-01 06:00:00,1.245175486522606,3.5163005918904346,2.2711251053678296,5.787425697258265,23.389934712950584,1.122334850810448,nan
2016-02-01 06:15:00,-0.7283015017939735,2.809242596827826,3.537544098621798,6.346786695449623,22.937149951812106,1.1545946465702255,nan
2016-02-01 06:30:00,-0.8041258923711418,2.9036746473437973,3.7078005397149383,6.611475187058733,22.694950153467655,1.1219853430487956,nan
2016-02-01 06:45:00,-0.10922326268544004,2.731154477888031,2.8403777405734707,5.571532218461499,21.617228631739533,1.3416984862089627,nan
2016-02-01 07:00:00,0.6271863603322038,3.088259470690351,2.461073110358146,5.549332581048496,22.006194095396353,1.0606511921785418,nan
2016-02-01 07:15:00,-0.9737257114188768,2.509279758920461,3.4830054703393363,5.992285229259793,21.99910118004136,1.0578012801649752,nan
2016-02-01 07:30:00,0.5515048522413711,3.465774813481841,2.914269961240469,6.3800447747223075,23.7020411359737,1.1914275293343988,nan
2016-02-01 07:45:00,0.07565209116789756,3.3260895768278176,3.250437485659921,6.57652706248774,21.98860290032824,0.9427011988981531,nan
2016-02-01 08:00:00,-1.7213910605521128,2.5842724927084966,4.30566355326061,6.889936045969104,22.155126639179628,1.2476687133917483,nan
2016-02-01 08:15:00,0.5814443526303917,2.8618395276095336,2.280395174979141,5.1422347025886745,22.06318392090699,0.9962645891408659,nan
2016-02-01 08:30:00,0.5505604773939705,2.9200263836501508,2.3694659062561785,5.289492289906329,21.488363373391916,1.264062473176795,nan
2016-02-01 08:45:00,0.32056648767423024,2.853433524286425,2.5328670366121946,5.3863005608986185,22.53286709360776,1.3807604225627588,nan
2016-02-01 09:00:00,-0.5357758483054321,2.9006909892759887,3.436466837581421,6.33715782685741,22.554652805280238,1.1419873844457993,nan
2016-02-01 09:15:00,-0.8468174753264419,2.630467232537767,3.477284707864207,6.107751940401979,21.942003391699554,1.699815456978312,nan
2016-02-01 09:30:00,-0.7497295895297477,2.9743670172078147,3.724096606737562,6.6984636239453765,23.02447777387641,0.9687158374016339,nan
2016-02-01 09:45:00,-0.6200844496181692,2.6883234157604052,3.3084078653785745,5.996731281138981,23.238666150414584,1.1572877896940597,765.39
2016-02-01 10:00:00,-1.2195762119712625,2.667099242606102,3.886675454577366,6.553774697183465,22.635094984355035,1.2249789218883642,764.28
