link,time
https://www.cnbc.com/video/2018/09/24/microsoft-ceo-incumbent-on-tech-industry-to-create-opportunity-in-every-economy.html,2018-09-24T15:32:07Z
https://www.nytimes.com/2018/09/12/business/media/jacob-weisberg-slate-malcolm-gladwell.html,2018-09-12T23:04:11Z
https://www.businessinsider.com/roblox-raises-150-million-at-25-billion-valuation-2018-9,2018-09-05T18:00:00Z
https://www.bbc.co.uk/news/business-45468409,2018-09-10T07:11:46Z
https://www.bbc.co.uk/news/technology-45418970,2018-09-06T23:00:33Z
https://money.cnn.com/2018/09/19/investing/credit-cards-visa-mastercard-american-express-stocks/index.html,2018-09-19T13:28:20Z
https://www.wsj.com/articles/rising-cloud-bills-may-get-a-breather-1538128800,2018-09-28T10:00:02Z
https://www.theguardian.com/world/2018/sep/18/bill-gates-trump-united-states-foreign-aid-spending,2018-09-18T04:01:14Z
https://www.businessinsider.com/former-president-google-china-says-he-knows-key-to-success-if-company-returns-2018-9,2018-09-07T13:10:52Z
https://www.businessinsider.com/pc-gamers-xbox-360-controller-switch-ps4-2018-9,2018-09-26T16:29:35Z
https://www.businessinsider.com/silicon-valley-life-science-biotech-vc-investor-list-2018-8,2018-09-06T13:44:00Z
https://www.businessinsider.com/google-comics-goomics-manu-cornet-2018-9,2018-09-19T18:31:47Z
https://www.wsj.com/articles/please-comb-your-hair-phones-with-facial-recognition-get-judgmental-with-their-owners-1537887972,2018-09-25T15:17:38Z
https://www.economist.com/business/2018/07/05/historys-biggest-firms,2018-09-19T05:02:47Z
https://www.theguardian.com/environment/2018/sep/19/tech-giants-fail-to-distance-from-businesseurope-fight-against-eu-climate-targets,2018-09-18T23:01:02Z
https://www.theguardian.com/sport/2018/sep/09/big-game-review-nfl-trump-kaepernick-football-mark-leibovich,2018-09-09T05:00:48Z
https://www.theguardian.com/business/2018/sep/28/is-goldman-sachs-new-fund-really-just-greenwashing-stocks,2018-09-28T06:00:49Z
https://www.bbc.co.uk/news/business-45624685,2018-09-24T23:02:52Z
https://www.bbc.co.uk/news/technology-45561955,2018-09-19T05:58:32Z
https://www.bloomberg.com/tosv2.html?vid=&uuid=3b29e460-c402-11e8-99c5-85b3e8d93434&url=L3ZpZXcvYXJ0aWNsZXMvMjAxOC0wOS0yOS90ZWNoLWNvbXBhbmllcy1hcmUtYmlnLXNwZW5kZXJzLW9uLXJlbmV3YWJsZS1lbmVyZ3k=,2018-09-29T16:03:00Z
https://www.theguardian.com/games/2018/sep/26/playstation-4-opens-up-cross-platform-play-starting-with-fortnite,2018-09-26T15:20:54Z
https://www.wsj.com/articles/all-eyes-on-oracles-cloud-however-hard-to-see-1537176600,2018-09-17T09:30:02Z
https://www.wsj.com/articles/tech-investors-prepare-to-say-goodbye-to-facebook-google-1536753600,2018-09-12T12:18:41Z
https://www.theguardian.com/technology/askjack/2018/sep/06/how-can-i-fix-my-laptop-browser-firefox-microsoft-edge,2018-09-06T11:48:48Z
https://www.cnbc.com/2018/09/06/bill-gates-everyone-can-benefit-from-learning-this-skill.html,2018-09-06T15:42:00Z
https://www.economist.com/international/2017/08/10/internet-firms-face-a-global-techlash,2018-09-24T14:57:19Z
https://www.ft.com/video/8834578a-796c-4c09-ab43-0f7124edd314,2018-09-18T04:00:40Z
https://www.wsj.com/articles/dell-makes-its-case-1537106400,2018-09-16T14:00:02Z
https://www.cnbc.com/2018/09/05/bill-gates-shares-his-best-advice-for-students.html,2018-09-05T17:14:00Z
https://money.cnn.com/2018/09/17/technology/spacex-moon-tourist-mission/index.html,2018-09-18T01:50:18Z
https://www.businessinsider.com/microsoft-invite-new-surface-devices-october-2-2018-9,2018-09-07T17:10:55Z
https://www.nytimes.com/2018/09/10/opinion/google-right-forgotten.html,2018-09-10T23:19:23Z
https://www.theguardian.com/technology/askjack/2018/sep/20/tablet-2-in-1-laptop-stylus-student-university,2018-09-20T11:37:55Z
https://money.cnn.com/2018/10/01/technology/paul-allen-non-hodgkins-lymphoma/index.html,2018-10-01T22:48:21Z
http://www.foxnews.com/tech/2018/09/24/tech-giants-use-ai-to-fight-famine-in-coordination-with-international-groups.html,2018-09-24T17:05:30Z
