link,time
https://www.cnn.com/videos/politics/2018/09/06/john-dean-trump-nyt-oped-newday-vpx.cnn,2018-09-06T14:10:53Z
https://www.cnn.com/videos/world/2018/09/07/jair-bolsonaro-stabbed-at-event-orig-tc.cnn,2018-09-07T04:54:28Z
https://www.cnn.com/videos/politics/2018/09/06/john-avlon-25th-amendment-new-york-times-op-ed-reality-check-newday-vpx.cnn,2018-09-06T12:37:33Z
https://www.cnn.com/videos/politics/2018/09/06/cory-booker-ready-to-be-expelled-senate-sot-vpx.cnn,2018-09-06T16:56:39Z
https://www.cnn.com/videos/us/2018/09/08/anchor-loses-daughter-to-opioid-epidemic-orig-klj.cnn,2018-09-08T12:42:02Z
https://www.cnn.com/videos/us/2018/09/08/tori-spelling-instagram-mom-shaming-smith-wxp-vpx.hln,2018-09-08T15:33:38Z
https://www.cnn.com/videos/cnnmoney/2018/09/07/elon-musk-smoke-weed-orig.cnnmoney,2018-09-07T21:47:35Z
https://www.cnn.com/videos/us/2018/09/08/dine-and-dash-date-charges-brought-california-vercammen-dnt-vpx.cnn,2018-09-08T03:02:05Z
https://www.cnn.com/videos/politics/2018/09/07/treason-crime-us-trump-hennessey-tsr-sot-vpx.cnn,2018-09-07T23:42:14Z
https://www.cnn.com/videos/travel/2018/09/05/aircraft-interiors-travel-orig.cnn,2018-09-07T10:10:38Z
https://www.cnn.com/videos/cnnmoney/2018/09/08/demi-lovato-house-for-sale-wxp-vpx.hln,2018-09-08T15:30:31Z
https://www.cnn.com/videos/politics/2018/09/07/trump-sessions-nyt-op-ed-investigation-collins-dnt-lead-vpx.cnn,2018-09-07T21:11:44Z
https://www.cnn.com/videos/cnnmoney/2018/09/09/trump-shine-fox-segments-sot-stelter-rs-vpx.cnn,2018-09-09T16:19:02Z
https://www.cnn.com/videos/politics/2018/09/09/fareeds-take-look-beyond-white-house-trump-madness-sot-gps-vpx.cnn,2018-09-09T15:57:57Z
https://www.cnn.com/videos/politics/2018/09/09/obama-disney-story-california-speech-smoking-sot-vpx.cnn,2018-09-09T05:39:24Z
https://www.cnn.com/videos/cnnmoney/2018/09/09/les-moonves-expected-to-step-down-at-cbs-sot-nr-vpx.cnn,2018-09-09T18:03:27Z
https://www.cnn.com/videos/weather/2018/09/11/florence-hurricane-weather-update-vpx.cnn,2018-09-11T03:56:13Z
https://www.cnn.com/videos/politics/2018/09/04/brett-kavanaugh-parkland-father-fred-guttenberg-handshake-erin-intv-bolduan-vpx.cnn,2018-09-05T00:40:00Z
https://www.cnn.com/videos/us/2018/09/06/police-suspect-chase-toxic-algae-florida-newsource-orig.cnn,2018-09-06T14:56:44Z
https://www.cnn.com/videos/politics/2018/09/06/donald-trump-hemingway-twitter-moos-erin-pkg-vpx.cnn,2018-09-06T01:28:44Z
https://www.cnn.com/videos/us/2018/09/05/jason-van-dyke-trial-orig-bk.cnn,2018-09-06T01:48:08Z
https://www.cnn.com/videos/politics/2018/09/05/alex-jones-marco-rubio-capitol-hill-sot-vpx.cnn,2018-09-06T06:13:34Z
https://www.cnn.com/videos/us/2018/09/06/immigrant-child-traumatized-after-separated-from-mother-during-zero-tolerance-orig-cm-al-db.cnn,2018-09-06T20:25:22Z
https://www.cnn.com/videos/politics/2018/09/07/trump-nyt-op-ed-white-house-officials-cuomo-closing-cpt-vpx.cnn,2018-09-07T04:04:29Z
https://www.cnn.com/videos/health/2018/09/07/doctor-mona-lisa-sick-mxp-vpx.hln,2018-09-07T08:33:24Z
https://www.cnn.com/videos/health/2018/09/05/nurse-premature-baby-reunited-mxp-vpx.hln,2018-09-05T13:48:53Z
https://www.cnn.com/videos/politics/2018/09/08/lewandowski-cuomo-spar-collusion-taxes-cpt-intv-vpx.cnn,2018-09-08T02:45:06Z
https://www.cnn.com/videos/politics/2018/09/06/amy-kremer-trump-supporter-pence-sot-ebof-vpx.cnn,2018-09-06T03:16:12Z
https://www.cnn.com/videos/politics/2018/09/06/brett-kavanaugh-kamala-harris-mueller-investigation-sot-vpx.cnn,2018-09-06T04:46:27Z
https://www.cnn.com/videos/us/2018/09/06/saturn-hexagon-vortex-newsource-orig.cnn,2018-09-06T20:43:46Z
https://www.cnn.com/videos/cnnmoney/2018/09/07/late-night-laughs-new-york-times-trump-op-ed-newday-vpx.cnn,2018-09-07T12:40:48Z
https://www.cnn.com/videos/politics/2018/09/08/alabama-residents-sessions-trump-tuchman-ac-pkg-vpx.cnn,2018-09-08T01:30:53Z
https://www.cnn.com/videos/us/2018/09/07/miss-america-swimsuit-reaction-orig-vstan-bdk.cnn,2018-09-07T14:25:58Z
https://www.cnn.com/videos/us/2018/09/07/cincinnati-shooter-orig-acl.cnn,2018-09-07T21:36:39Z
https://www.cnn.com/videos/cnnmoney/2018/09/10/carrie-underwood-new-nfl-intro-song-debuts-mxp-vpx.hln,2018-09-10T12:40:44Z
https://www.cnn.com/videos/weather/2016/08/29/orig-weather-preparing-for-a-hurricane.cnn,2018-09-10T14:29:54Z
https://www.cnn.com/videos/cnnmoney/2018/09/09/stelter-moonves-cbs-departure-money-sot-nr-vpx.cnn,2018-09-09T21:44:50Z
https://www.cnn.com/videos/politics/2018/09/07/everyone-gets-constitutional-crisis-wrong-orig-vstan-jmme.cnn,2018-09-07T22:54:09Z
https://www.cnn.com/videos/us/2018/09/10/gas-line-explosion-in-pa-orig-tc.cnn,2018-09-10T16:35:23Z
https://www.cnn.com/videos/sports/2018/09/10/moto-rider-romano-fenati-pulls-rivals-brake-spt-intl-orig-lon.cnn,2018-09-10T15:37:49Z
https://www.cnn.com/videos/us/2018/09/11/arlington-police-involved-shooting-oshae-terry-texas-orig-llr.cnn,2018-09-11T03:10:03Z
https://www.businessinsider.com/stanford-nyu-study-facebook-twitter-fake-news-2018-9,2018-09-18T13:58:00Z
https://www.businessinsider.com/facebook-blood-donation-tool-india-blood-black-maket-2018-9,2018-09-07T21:40:04Z
https://www.nytimes.com/2018/09/09/opinion/anti-semitism-mailer-nixon-cuomo.html,2018-09-09T20:30:09Z
https://www.nytimes.com/2018/09/05/briefing/brett-kavanaugh-bob-woodward-amazon.html,2018-09-05T09:41:03Z
https://www.businessinsider.com/instagram-founder-ceo-kevin-systrom-possible-reasons-for-leaving-facebook-past-interviews-2018-9,2018-09-25T21:33:00Z
https://www.cnn.com/videos/politics/2018/09/11/trump-9-11-fist-pump-lead-bts-vpx.cnn,2018-09-11T21:11:49Z
https://www.cnn.com/videos/world/2018/09/11/three-snailfish-species-discovered-ocean-depths-gb-lon-orig.cnn,2018-09-11T16:15:00Z
https://www.cnn.com/videos/us/2018/09/15/dallas-deadly-police-shooting-apartment-young-pkg-vpx.cnn,2018-09-15T11:52:26Z
