activ_den,date,negative,polarity,positive,price,self_den,tone
20.66411365413212,2016-02-29 00:15:00,3.5152298140107696,6.312594001988104,2.797364187977335,,1.5730169261862206,-0.7178656260334364
22.474132661289236,2016-02-29 00:30:00,3.2695974408569213,6.53744616219284,3.267848721335917,,1.0380297513945729,-0.0017487195210060945
23.115520810840724,2016-02-29 00:45:00,3.0565020239633247,6.322273011787722,3.2657709878243986,,1.3638419564773272,0.20926896386107455
23.803134917759248,2016-02-29 01:00:00,3.296982838643532,6.477994996333401,3.181012157689868,,1.6059656127840531,-0.11597068095366522
24.595270127975997,2016-02-29 01:15:00,2.797174894856958,6.569302371589174,3.772127476732216,,1.4039372742043048,0.9749525818752572
24.36593223627041,2016-02-29 01:30:00,2.707268258647941,6.494210082752996,3.786941824105056,,1.4063352119210015,1.0796735654571143
23.9181108841292,2016-02-29 01:45:00,2.6794974990001665,6.6931174710135855,4.0136199720134185,,0.9951310107777924,1.3341224730132524
25.156424595054737,2016-02-29 02:00:00,2.313533011254771,6.578800490091457,4.265267478836686,,0.9554366813825379,1.9517344675819144
25.598592416607367,2016-02-29 02:15:00,2.3960975917679823,6.171246817324562,3.775149225556577,,1.4442119954633408,1.3790516337885947
24.307830464573946,2016-02-29 02:30:00,2.6803796148701817,6.250218717408178,3.5698391025379936,,1.4267562605726936,0.8894594876678118
24.878511931791635,2016-02-29 02:45:00,2.3964860939660744,6.485585186024778,4.089099092058701,,0.9544285764002148,1.692612998092628
24.078576742911807,2016-02-29 03:00:00,2.6088801715692487,7.016827576573782,4.407947405004536,,1.1908011720842235,1.7990672334352855
0.0,2016-02-29 03:15:00,0.0,0.0,0.0,,0.0,0.0
23.81228968711585,2016-02-29 03:30:00,2.058115965917887,6.401465930171598,4.34334996425371,,0.9204555010493538,2.2852339983358245
24.232828387733477,2016-02-29 03:45:00,2.824205193110669,6.126853454759108,3.3026482616484367,,0.9322569513191216,0.4784430685377675
24.895754003361674,2016-02-29 04:00:00,2.605269292316581,6.723090961910211,4.11782166959363,,0.9423133692254076,1.5125523772770504
24.585968060664296,2016-02-29 04:15:00,3.1046952286603933,7.024249192637114,3.91955396397672,,1.074156666547037,0.8148587353163259
23.62248009086925,2016-02-29 04:30:00,2.935941699205397,6.903643465676825,3.967701766471429,,0.9967238127488102,1.031760067266033
24.45092768119716,2016-02-29 04:45:00,2.7726401872322644,6.798257125831085,4.0256169385988185,,0.982796843518103,1.2529767513665553
22.859164367789365,2016-02-29 05:00:00,2.8774902013117014,6.076452937639122,3.19896273632742,,0.8837184760405884,0.3214725350157192
23.85009044938911,2016-02-29 05:15:00,2.4766518722930337,6.079111987701388,3.6024601154083533,,0.9945776681831816,1.125808243115321
23.766799291801085,2016-02-29 05:30:00,2.3727821607276933,5.965785950810862,3.5930037900831726,,1.1395713455141985,1.2202216293554784
23.564249143220927,2016-02-29 05:45:00,2.570309856897576,5.6513318212728665,3.0810219643752883,,1.011077433601718,0.5107121074777119
22.349554408250423,2016-02-29 06:00:00,2.6391245528159084,5.8136731092558485,3.1745485564399396,,1.1737572879600908,0.5354240036240316
23.22049316163704,2016-02-29 06:15:00,3.2646863550789904,6.434835102854152,3.170148747775156,,2.19245481099667,-0.09453760730383716
21.589274842831845,2016-02-29 06:30:00,2.283430352555113,5.0592972035185975,2.7758668509634847,,1.3019289025423564,0.4924364984083723
21.620023804763093,2016-02-29 06:45:00,2.222329704171015,5.577952194222918,3.3556224900519056,,1.1940160177474581,1.1332927858808903
22.723099681787314,2016-02-29 07:00:00,3.5834637348273235,6.315733034045622,2.7322692992183018,,1.3113621034750107,-0.8511944356090235
21.03951565553706,2016-02-29 07:15:00,2.9493265255829404,6.062856186094699,3.113529660511756,,0.9244699105634272,0.16420313492881525
22.266063996013227,2016-02-29 07:30:00,3.400769362780456,6.749015424031493,3.348246061251037,,1.01365766345827,-0.05252330152941823
22.46967780724144,2016-02-29 07:45:00,3.421039043055288,6.994558899734787,3.573519856679504,,1.236154777994233,0.15248081362421104
22.96853658187561,2016-02-29 08:00:00,2.6143598882541053,5.724505790003997,3.110145901749892,,1.1573762600294148,0.4957860134957866
22.458218040882233,2016-02-29 08:15:00,2.537043672378384,5.452696026328017,2.91565235394963,,0.8411127417450928,0.3786086815712464
21.111855834781714,2016-02-29 08:30:00,1.9685905837483768,5.349801588734415,3.3812110049860395,,1.2067334246586976,1.4126204212376614
21.997828070271503,2016-02-29 08:45:00,3.0198975731644886,6.477793991329287,3.4578964181648004,,1.3036935391575086,0.43799884500031183
21.770865835158425,2016-02-29 09:00:00,1.9318398346791648,5.039834109784286,3.1079942751051206,,1.807315136088444,1.1761544404259556
21.889738286650804,2016-02-29 09:15:00,2.499217272742573,5.601794608994339,3.102577336251768,,1.5447949839562871,0.6033600635091954
22.93001898561355,2016-02-29 09:30:00,2.831012927362877,5.165400078908075,2.3343871515451937,,1.0510044228969646,-0.4966257758176831
22.200920526263328,2016-02-29 09:45:00,2.9126267486002964,5.809900320724464,2.897273572124168,725.11,1.6806795961754095,-0.015353176476129524
22.288379536583903,2016-02-29 10:00:00,2.4869950792148465,6.167317329476508,3.6803222502616584,726.52,1.4896263910874232,1.193327171046814
22.868681524461326,2016-02-29 10:15:00,3.0188338951191525,6.256619606055756,3.2377857109366026,727.61,1.873968502280429,0.2189518158174508
22.28768390221407,2016-02-29 10:30:00,2.620122325178021,5.495810086519357,2.8756877613413345,729.63,1.7410608901549232,0.2555654361633132
