activ_den,date,fin_return,negative,polarity,positive,self_den,tone
20.664113654132116,2016-02-29 00:15:00,,3.5152298140107696,6.312594001988104,2.797364187977335,1.5730169261862206,-0.7178656260334364
22.474132661289232,2016-02-29 00:30:00,,3.2695974408569213,6.53744616219284,3.267848721335917,1.0380297513945729,-0.0017487195210060945
23.115520810840724,2016-02-29 00:45:00,,3.0565020239633247,6.322273011787721,3.265770987824398,1.3638419564773274,0.20926896386107452
23.803134917759245,2016-02-29 01:00:00,,3.2969828386435314,6.4779949963334005,3.1810121576898664,1.605965612784053,-0.1159706809536652
24.595270127975997,2016-02-29 01:15:00,,2.797174894856958,6.569302371589174,3.7721274767322157,1.403937274204305,0.9749525818752572
24.365932236270417,2016-02-29 01:30:00,,2.707268258647941,6.494210082752999,3.7869418241050563,1.4063352119210015,1.0796735654571143
23.9181108841292,2016-02-29 01:45:00,,2.679497499000167,6.6931174710135855,4.0136199720134185,0.9951310107777923,1.3341224730132524
25.156424595054737,2016-02-29 02:00:00,,2.3135330112547714,6.578800490091457,4.2652674788366856,0.9554366813825378,1.951734467581915
25.598592416607357,2016-02-29 02:15:00,,2.3960975917679823,6.171246817324558,3.7751492255565773,1.4442119954633406,1.379051633788595
24.307830464573946,2016-02-29 02:30:00,,2.6803796148701826,6.250218717408177,3.569839102537993,1.4267562605726936,0.8894594876678118
24.87851193179164,2016-02-29 02:45:00,,2.3964860939660744,6.485585186024778,4.089099092058702,0.9544285764002148,1.6926129980926277
24.078576742911803,2016-02-29 03:00:00,,2.6088801715692487,7.016827576573782,4.407947405004536,1.1908011720842235,1.799067233435286
0.0,2016-02-29 03:15:00,,0.0,0.0,0.0,0.0,0.0
23.812289687115854,2016-02-29 03:30:00,,2.058115965917887,6.401465930171599,4.34334996425371,0.9204555010493538,2.2852339983358245
24.232828387733473,2016-02-29 03:45:00,,2.824205193110669,6.126853454759109,3.302648261648438,0.9322569513191215,0.47844306853776764
24.89575400336167,2016-02-29 04:00:00,,2.605269292316581,6.72309096191021,4.11782166959363,0.9423133692254073,1.51255237727705
24.5859680606643,2016-02-29 04:15:00,,3.1046952286603933,7.024249192637117,3.9195539639767185,1.074156666547037,0.814858735316326
23.622480090869242,2016-02-29 04:30:00,,2.935941699205397,6.903643465676825,3.9677017664714294,0.9967238127488102,1.0317600672660328
24.45092768119716,2016-02-29 04:45:00,,2.7726401872322644,6.798257125831084,4.025616938598819,0.982796843518103,1.2529767513665553
22.859164367789365,2016-02-29 05:00:00,,2.8774902013117014,6.0764529376391225,3.1989627363274207,0.8837184760405884,0.3214725350157192
23.85009044938911,2016-02-29 05:15:00,,2.4766518722930337,6.079111987701389,3.6024601154083533,0.9945776681831815,1.1258082431153207
23.766799291801085,2016-02-29 05:30:00,,2.372782160727693,5.965785950810864,3.5930037900831713,1.1395713455141985,1.2202216293554786
23.564249143220923,2016-02-29 05:45:00,,2.5703098568975755,5.651331821272865,3.0810219643752883,1.0110774336017179,0.510712107477712
22.34955440825042,2016-02-29 06:00:00,,2.639124552815908,5.8136731092558485,3.17454855643994,1.1737572879600908,0.5354240036240316
23.220493161637044,2016-02-29 06:15:00,,3.26468635507899,6.434835102854152,3.1701487477751558,2.19245481099667,-0.09453760730383709
21.589274842831845,2016-02-29 06:30:00,,2.2834303525551136,5.059297203518599,2.775866850963485,1.3019289025423564,0.4924364984083723
21.6200238047631,2016-02-29 06:45:00,,2.2223297041710155,5.577952194222919,3.3556224900519047,1.1940160177474577,1.13329278588089
22.723099681787314,2016-02-29 07:00:00,,3.583463734827324,6.315733034045624,2.7322692992183018,1.3113621034750107,-0.8511944356090232
21.039515655537055,2016-02-29 07:15:00,,2.9493265255829404,6.062856186094697,3.1135296605117553,0.9244699105634272,0.16420313492881525
22.26606399601322,2016-02-29 07:30:00,,3.400769362780456,6.749015424031492,3.348246061251037,1.0136576634582701,-0.05252330152941827
22.469677807241442,2016-02-29 07:45:00,,3.421039043055288,6.994558899734788,3.573519856679504,1.236154777994233,0.15248081362421106
22.968536581875608,2016-02-29 08:00:00,,2.6143598882541053,5.724505790003998,3.1101459017498922,1.1573762600294148,0.49578601349578655
22.458218040882244,2016-02-29 08:15:00,,2.5370436723783842,5.452696026328017,2.915652353949631,0.841112741745093,0.37860868157124644
21.111855834781718,2016-02-29 08:30:00,,1.968590583748377,5.349801588734415,3.3812110049860387,1.2067334246586978,1.4126204212376614
21.997828070271503,2016-02-29 08:45:00,,3.0198975731644886,6.477793991329289,3.4578964181648004,1.3036935391575084,0.4379988450003117
21.770865835158425,2016-02-29 09:00:00,,1.9318398346791645,5.0398341097842865,3.1079942751051215,1.8073151360884434,1.1761544404259556
21.889738286650804,2016-02-29 09:15:00,,2.499217272742573,5.601794608994342,3.102577336251768,1.5447949839562873,0.6033600635091954
22.93001898561355,2016-02-29 09:30:00,,2.8310129273628775,5.165400078908074,2.334387151545194,1.0510044228969646,-0.49662577581768313
22.20092052626333,2016-02-29 09:45:00,1.792847503882449e-05,2.9126267486002964,5.809900320724462,2.8972735721241674,1.6806795961754095,-0.015353176476129502
22.288379536583903,2016-02-29 10:00:00,0.00023401956235015567,2.4869950792148465,6.167317329476507,3.680322250261658,1.4896263910874237,1.193327171046814
22.868681524461326,2016-02-29 10:15:00,-0.00019239226092767042,3.018833895119153,6.2566196060557555,3.2377857109366026,1.8739685022804295,0.21895181581745085
22.287683902214066,2016-02-29 10:30:00,0.0004551287050915535,2.6201223251780212,5.495810086519356,2.8756877613413345,1.7410608901549225,0.25556543616331323
